country,month,sector,sum,min,max,mean
Brazil,01/2019,Domestic Aviation,0.9691312,0.0237501,0.0343967,0.031262296774193545
Brazil,01/2019,Ground Transport,13.697884,0.201663,0.500114,0.4418672258064516
Brazil,01/2019,Industry,9.752498000000001,0.183188,0.490842,0.3145967096774194
Brazil,01/2019,International Aviation,0.6323466,0.0183492,0.0222406,0.02039827741935484
Brazil,01/2019,Power,4.242772,0.079695,0.213538,0.13686361290322582
Brazil,01/2019,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,01/2020,Domestic Aviation,1.0314144,0.0226154,0.0353972,0.03327143225806452
Brazil,01/2020,Ground Transport,13.939367,0.251534,0.49899,0.44965700000000003
Brazil,01/2020,Industry,9.904699,0.275314,0.34916,0.31950641935483876
Brazil,01/2020,International Aviation,0.6072369,0.016931,0.0214256,0.019588287096774192
Brazil,01/2020,Power,9.518355,0.264575,0.335541,0.30704370967741934
Brazil,01/2020,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,01/2021,Domestic Aviation,0.8330579,0.0158556,0.0302979,0.02687283548387097
Brazil,01/2021,Ground Transport,11.8332684,0.0939564,0.482044,0.38171833548387096
Brazil,01/2021,Industry,10.166497,0.210503,0.395047,0.32795151612903223
Brazil,01/2021,International Aviation,0.22886612,0.00536577,0.00926457,0.007382778064516129
Brazil,01/2021,Power,10.775278,0.223108,0.418703,0.3475896129032258
Brazil,01/2021,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,01/2022,Domestic Aviation,0.996855,0.0232111,0.0361621,0.03215661290322581
Brazil,01/2022,Ground Transport,13.026095,0.165308,0.489777,0.4201966129032258
Brazil,01/2022,Industry,9.419301,0.198785,0.360049,0.30384841935483875
Brazil,01/2022,International Aviation,0.38481594,0.00897604,0.0137155,0.01241341741935484
Brazil,01/2022,Power,7.877211,0.166241,0.301103,0.2541035806451613
Brazil,01/2022,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,01/2023,Domestic Aviation,1.0741683,0.0200738,0.0363363,0.034650590322580645
Brazil,01/2023,Ground Transport,13.57672,0.23143,0.487961,0.43795870967741934
Brazil,01/2023,Industry,9.339898999999999,0.207043,0.384571,0.301287064516129
